bioguide_id,annee,n_trades,n_buy,buy_share,notional,n_tickers,sect_dom,n_days,vol,sharpe,ret_annee,exces_spy_annee
D000624,2017,34.0,23.0,0.6764705882352942,664017.0,23.0,Consumer Staples,251.0,0.06887612191670929,3.1046346413382024,0.23435049075425263,0.017296576214463455
D000624,2018,28.0,15.0,0.5357142857142857,658514.0,23.0,Industrials,251.0,0.16928548883149733,-0.07441796901241733,-0.026464705590461324,0.019225392979836387
D000624,2019,9.0,5.0,0.5555555555555556,243504.5,8.0,Communication Services,252.0,0.12250403618766072,2.1980122971617657,0.2990638413731834,-0.01317468165658564
D000624,2020,9.0,2.0,0.2222222222222222,328504.5,8.0,Information Technology,253.0,0.33610545009503145,0.6923588210381355,0.1930128857567921,0.009696398477982093
D000624,2021,9.0,1.0,0.1111111111111111,286004.5,9.0,Health Care,252.0,0.1231161338025364,2.2118022379935582,0.3029212515073745,0.015633933510341036
D000624,2022,5.0,2.0,0.4,89002.5,5.0,Communication Services,251.0,0.22090071303119654,-0.7369408763621488,-0.17010935783423942,0.01164415577657596
D000624,2023,3.0,3.0,1.0,97501.5,3.0,Financials,250.0,0.12218993784543677,1.420274190482826,0.17908696750808262,-0.08267099956124824
D000624,2024,3.0,0.0,0.0,73001.5,1.0,Information Technology,252.0,0.10999131099495882,1.6387599642989745,0.1902333937997751,-0.05863128663833472
D000624,2025,6.0,2.0,0.3333333333333333,188503.0,6.0,Communication Services,250.0,0.15589730137749871,1.2652980867612043,0.2016442992388956,0.02445374411974921
D000624,2026,1.0,1.0,1.0,8000.5,1.0,Financials,125.0,0.13370470427134873,1.738553021451393,0.11725795739323619,0.019272864105486676
D000626,2018,3.0,2.0,0.6666666666666666,73001.5,3.0,Consumer Discretionary,227.0,0.35493163593435006,-2.346508108578147,-0.554445137341601,-0.5193495224561265
D000626,2019,,,,,,,252.0,0.469302070416494,1.5803280434189053,0.8846270956287337,0.5723885725989646
D000626,2020,3.0,1.0,0.3333333333333333,140001.5,2.0,Consumer Discretionary,253.0,0.8168485545050372,1.0326590116037182,0.6862647560293387,0.5029482687505287
D000626,2021,,,,,,,252.0,0.5066107486314599,-0.4637192936096083,-0.307422575452307,-0.5947098934493404
D000626,2022,,,,,,,251.0,0.36720582663001056,-0.3876647391343016,-0.18882410162503882,-0.0070705880142234445
D000626,2023,,,,,,,250.0,0.2453869160888225,2.6482411338911405,0.8485823466850093,0.5868243796156785
D000626,2024,,,,,,,252.0,0.30424403191253657,1.7707604179649503,0.6357143613869858,0.38684968094887595
D000626,2025,,,,,,,250.0,0.303986105193142,2.2057636462940753,0.8564708109380448,0.6792802558188984
D000626,2026,1.0,0.0,0.0,8000.5,1.0,Health Care,125.0,0.3813816290350089,1.2734321554733388,0.22737140287283508,0.12938630958508557
D000628,2017,3.0,3.0,1.0,73001.5,1.0,Utilities,150.0,0.128684759076014,-0.2904487825708407,-0.02677999348044302,-0.14741903229608766
D000628,2018,,,,,,,251.0,0.1845912356287936,-0.11570962321703442,-0.03751930345194432,0.008170795118353391
D000628,2019,,,,,,,252.0,0.13994368444802419,3.0477119308263063,0.516528186168425,0.20428966313865593
D000628,2020,,,,,,,253.0,0.45987072181175304,0.2397760324258916,0.006276601808959725,-0.17703988546985028
D000628,2021,,,,,,,252.0,0.16127375572614422,1.0190097881187206,0.16335482958017544,-0.123932488416858
D000628,2022,,,,,,,251.0,0.22767024668867133,0.46280347302146596,0.0824154614573751,0.2641689750681905
D000628,2023,2.0,0.0,0.0,65001.0,1.0,Utilities,250.0,0.1884103135782621,0.2109654516864886,0.02213202830537009,-0.23962593876396077
D000628,2024,1.0,1.0,1.0,32500.5,1.0,Information Technology,252.0,0.1714191964599426,0.9236361807457152,0.15451997744302637,-0.09434470299508346
